title	author	genre	pages	language	country	publisher
The Pirate King	r. a. salvatore	fantasy novel	347		united states	wizards of the coast
The Ghost King	r. a. salvatore	fantasy novel	352		united states	wizards of the coast
The Wide, Wide World	susan warner	novel			united states	
Children of God (novel)	mary doria russell	science fiction novel	436		united states	villard
The Last English King	julian rathbone	historical novel	381 pp		united kingdom	little, brown
House of Suns	alastair reynolds	science fiction			united kingdom	gollancz
Paul of Dune		science fiction	512		united states	tor books
Death Masks	jim butcher	fantasy novel	374 pp (first edition, paperback)		united states	new american library
Shame (Alvtegen novel)	karin alvtegen	crime novel			sweden	canongate (uk)
Slaphappy: Pride, Prejudice, and Professional Wrestling	thomas hackett	non-fiction			united states	harpercollins
Magic's Child	justine larbalestier	fantasy novel				razorbill
Earth (Farca novel)	marie c. farca	science fiction novel	339 pp		united states	doubleday
The Shifting Sands	emily rodda	fantasy novel	131		australia	scholastic
The Candle in the Wind	t. h. white	fantasy	208		united kingdom	collins
Forgotten Voices of the Great War	max arthur	non-fiction	352		united kingdom	ebury press
Forgotten Voices of the Holocaust	lyn smith	non-fiction				
Forgotten Voices of the Second World War	max arthur	non-fiction				
Forgotten Voices of the Blitz and the Battle of Britain	joshua levine	non-fiction				
Forgotten Voices of the Falklands	hugh mcmanners	non-fiction	477pp		united kingdom	ebury press
Sword Song (novel)	bernard cornwell	historical novel	366 hardback		united kingdom	harpercollins
Pop. 1280	jim thompson	crime novel	143 pp		united states	gold medal books
The Witch of Portobello	paulo coelho	novel	268 p.		brazil	harper collins publishers, 1st us edition (2007).
A Ramble Round the Globe	thomas dewar	non-fiction	316 pp		scotland	chatto and windus
The Prisoner of Zhamanak	l. sprague de camp	science fiction	228		united states	phantasia press
Kartanonherra ja kaunis Kirstin	kaari utrio	historical novel	381 pp		finland	tammi
People of the Wolf	w. michael gear  kathleen o'neal gear	historical novel	448 pp		united states	tor books
South Park and Philosophy: Bigger, Longer, and More Penetrating	richard hanley, editor	non-fiction	288		united states	open court
Rautalilja	kaari utrio	historical novel	303 pp		finland	tammi
Secret of the Sirens	julia golding	fantasy	401 pp (first edition, paperback)		united kingdom	oxford university press
Toast: And Other Rusted Futures	charles stross	science fiction	192 pp		united kingdom	cosmos books/wildside press
Fablehaven: Rise of the Evening Star	brandon mull	fantasy novel	441		united states	shadow mountain, aladdin books
Disappearance (Watson novel)	judy blundell	science fiction	202 pp		united states	
The House at Riverton	kate morton	novel			australia, united kingdom	pan macmillan (uk)
Profit over People	noam chomsky	non-fiction	175 pp		united states	seven stories press
The Easter Parade	richard yates	novel	229 (hardback first edition)		united states	delacorte press/s. lawrence
Dogland	will shetterly	fantasy novel	445 pp		united states	tor books
The Cat Who Wished to Be a Man	lloyd alexander	fantasy novel	107		united states	
Anthills of the Savannah	chinua achebe	novel			kangan	heinemann
The Gift (Croggon novel)	alison croggon	fantasy	480 (1st australian edition)		australia	penguin books
Frisk (novel)	dennis cooper	novel	128 pp (paperback edition)		united kingdom	grove press
The Singing	alison croggon	fantasy	470		australia	penguin books
Lost Worlds (Carter collection)	lin carter	fantasy	176		united states	daw books
A Wrinkle in the Skin	john christopher	science fiction	220		united kingdom	hodder and stoughton
The Fire Thief (novel)	terry deary	fantasy novel	250 pg		united kingdom	kingfisher
Skinner's Round	quintin jardine	crime novel	436 pp		scotland	hodder headline
Strange Toys	patricia geary	fantasy novel	248 pp		united states	bantam spectra
Dragon Harper	anne mccaffrey and todd mccaffrey	science fiction novel	298    (first us edition)		united states	del rey books
The Magic of Atlantis	edited by  lin carter	fantasy	191		united states	lancer books
Turnaround: Crisis, Leadership, and the Olympic Games	mitt romney	non-fiction	416		united states	regnery publishing, inc.
A Catalogue of Crime		non-fiction	831 pages		united states	harper  &  row
From the Holy Mountain	william dalrymple	non-fiction	xvi, 483		united kingdom	harpercollins
The Age of Kali	william dalrymple	non-fiction	400 pp.		united kingdom	penguin books
Begums Thugs and White Mughals	fanny parkes	non-fiction			united kingdom	eland books
The Last Mughal	william dalrymple	non-fiction	575 pp.		united kingdom	bloomsbury publishing
Fablehaven: Grip of the Shadow Plague	brandon mull	fantasy novel	487		united states	simon  &  schuster children's publishing division
Confessions of Felix Krull	thomas mann	novel			germany	
The Dare Game	jacqueline wilson	children's novel	256 pp		united kingdom	doubleday
Jurassic Park Adventures: Survivor	scott ciencin	fantasy	116		united states	random house books for young readers
Jurassic Park Adventures: Prey	scott ciencin	fantasy	123		united states	random house books for young readers
Jurassic Park Adventures: Flyers	scott ciencin	science fiction	128		united states	random house books for young readers
Critique of Criminal Reason	michael gregorio	crime novel	396 pp		united kingdom	faber and faber
Fire Star (novel)	chris d'lacey	fantasy novel	548 pp		united kingdom	scholastic press
The Fire Eternal	chris d'lacey	fantasy novel	506 pp		united kingdom	orchard books, an imprint of scholastic press
The Swords of Zinjaban	l. sprague de camp and catherine crook de camp	science fiction	309		united states	baen books
The Shattered Sphere	roger macbride allen	science fiction	491 pp		united states	tom doherty assoc llc
The Bones of Zora	l. sprague de camp and catherine crook de camp	science fiction			united states	phantasia press
A March into Darkness	robert newcomb	fantasy			united states	del rey
Palace of Desire (novel)	naguib mahfouz	novel			egypt	
The Conan Chronicles, 2	robert e. howard	fantasy	xii, 575 pp		united kingdom	gollancz
Jorkens Borrows Another Whiskey	lord dunsany	fantasy			united kingdom	michael joseph
The Far Shore of Time	frederik pohl	science fiction	317 (hardcover edition)		united states	tor books
Saraband of Lost Time	richard grant	science fiction novel	327 (first edition, paperback)		united states	avon books
The Big Oyster: History on the Half Shell	mark kurlansky	non-fiction				penguin group
On the Run (novel)	nina bawden	children's novel	207 pp		united kingdom	victor gollancz
Maybe the Moon	armistead maupin	novel	307		united states	harpercollins
Skinner's Mission	quintin jardine	crime novel	406 pp		scotland	hodder headline
Skinner's Ghosts	quintin jardine	crime novel	405 pp		scotland	hodder headline
Gallery Whispers	quintin jardine	crime novel	407 pp		scotland	hodder headline
Star Wars: Darth Bane: Rule of Two	drew karpyshyn	science fiction	318		united states	del rey
Girls of Riyadh	rajaa alsanea	novel	300		saudi arabia	fig tree (an imprint of penguin books)
Beggars and Choosers (novel)	nancy kress	science fiction	378		united states	william morrow and company
Newtons Sleep	daniel o'mahony	science fiction novel	288		new zealand	random static
One Good Knight	mercedes lackey	fantasy novel	400		united states	luna books (harlequin enterprises)
Kai Lung's Golden Hours	ernest bramah	fantasy	vii, 312		united kingdom	grant richards ltd.
The Last Empress (novel)	anchee min	historical novel				houghton mifflin
The Abstinence Teacher	tom perrotta	fiction	358 pp (1st edition, hardcover)		united states	st. martin's press
Grania: She-King of the Irish Seas	morgan llywelyn	historical novel	437 pp (hardback)		ireland	crown
The Big Splash (book)	louis a. frank  patrick huyghe	non-fiction			united states	birch lane press  carol publishing group
The Contortionist's Handbook	craig clevenger	novel	199 pp (first edition, hardback)		united states	macadam/cage
Dermaphoria	craig clevenger	novel	214 pp (first edition, hardback)		united states	macadam/cage
Demon Theory	stephen graham jones	novel	439 pp (first edition, paperback)		united states	macadam/cage publishing
All the Beautiful Sinners	stephen graham jones	novel	486 pp (first edition, hardback)		united states	rugged land, llc
The Fast Red Road: A Plainsong	stephen graham jones	novel	326 pp		united states	fiction collective 2
Mary, called Magdalene	margaret george	historical novel			united states	
A Scourge of Screamers	daniel f. galouye	science fiction	172 pp		united states	bantam books
The Last Book of Jorkens	lord dunsany	fantasy			united states	night shade books
The Goose Girl (novel)	shannon hale	fantasy novel	383		united states	bloomsbury press
Enna Burning	shannon hale	fantasy	317 pp.		united states	bloomsbury
Princess Academy	shannon hale	fantasy novel	314		united states	bloomsbury press
River Secrets	shannon hale	fantasy novel	290		united states	bloomsbury press
The Tangled Skein	baroness orczy	historical novel	332 pp		united kingdom	greening  &  co
A Bride of the Plains	baroness orczy	historical novel			united kingdom	
The Stone Monkey	jeffery deaver	crime novel	432			simon  &  schuster
A Sheaf of Bluebells	baroness orczy	historical novel	348 pp		united kingdom	hutchinson  &  co
Twelve Bar Blues (novel)	patrick neate	historical novel	416		united kingdom	viking press
Before I Wake (Wiersema novel)	robert j. wiersema	novel	384 pp		canada	random house canada
Changeling: The Autobiography of Mike Oldfield	mike oldfield	non-fiction	272		united kingdom	virgin
Rogue Ship	a. e. van vogt	science fiction	213		united states	doubleday
Omnipotent Government	ludwig von mises	non-fiction	ix, 291 pp.		united states	yale university press, libertarian press
A True Woman	baroness orczy	historical novel	351 pp		united kingdom	hutchinson  &  co
The J. R. R. Tolkien Companion and Guide	wayne g. hammond and christina scull	non-fiction	2300			harpercollins (uk), houghton mifflin (us)
Rising Tide (Thesman novel)	jean thesman	historical novel	240 pages		united states	viking juvenile
The Honourable Jim	baroness orczy	historical novel	320 pp		united kingdom	hodder  &  stoughton
The Dark River (novel)	john twelve hawks	science fiction novel	384		united states	doubleday
The Sons of Heaven	kage baker	science fiction novel	431		united states	tor books
Through Wolf's Eyes	jane lindskold	fantasy			united states	tor fantasy
Probability Moon	nancy kress	science fiction	438		united states	william morrow and company
Boy Culture (novel)	matthew rettenmund	novel	181 pp		united states	
Ecotopia Emerging	ernest callenbach	novel	326		united states	
Probability Sun	nancy kress	science fiction	347		united states	william morrow and company
Meadowsweet (novel)	baroness orczy	historical novel	376 pp		united kingdom	hutchinson  &  co
Petticoat Government	baroness orczy	historical novel	288 pp		united kingdom	hutchinson  &  co
The Tent (Paulsen novel)	gary paulsen	novel	96 pp		united states	harcourt
Dragons of the Highlord Skies		fantasy novel	456 pp		united states	wizards of the coast
Dragon Harvest	upton sinclair	historical novel	703 pp		united states	viking press (us)  t. w. laurie (uk)
One Clear Call	upton sinclair	historical novel	629 pp		united states	viking press
The Book of Dead Days	marcus sedgwick	fantasy	273pp		u.k.	orion children's books
The Absolute (novel)	k. a. applegate	science fiction novel	149 pp		united states	scholastic
As for Me and My House	sinclair ross	novel			canada	reynal and hitchcock
The Ellimist Chronicles	k. a. applegate	science fiction novel	200 pp		united states	scholastic
Elfsorrow	james barclay	fantasy novel	496		england	gollancz
Mistress Pat	lucy maud montgomery	children's novel			canada	mcclelland  &  stewart
Children's Past Lives	carol bowman	non-fiction	368			bantam
Land of the Headless	adam roberts	science fiction novel	288		united kingdom	orion books (gollancz)
Year's Best SF (Book 1)	edited by david g. hartwell	science fiction	479 pp		united states	
Year's Best SF 2	edited by david g. hartwell	science fiction	441 pp		united states	harperprism
Year's Best SF 3	edited by david g. hartwell	science fiction	448 pp		united states	harperprism
Mainspring (novel)	jay lake	science fiction	320 pp		united states	tor books
Year's Best SF 4	edited by david g. hartwell	science fiction	484 pp		united states	harperprism
Year's Best SF 5	edited by david g. hartwell	science fiction	494 pp		united states	eos
Year's Best SF 12	edited by david g. hartwell and kathryn cramer	science fiction	496 pp		united states	eos
Year's Best SF 6	edited by david g. hartwell	science fiction	500 pp		united states	eos
Year's Best SF 7	edited by david g. hartwell and kathryn cramer	science fiction	498 pp		united states	eos
Year's Best SF 8	edited by david g. hartwell and kathryn cramer	science fiction	496 pp		united states	eos
Year's Best SF 9	edited by david g. hartwell and kathryn cramer	science fiction	500 pp		united states	eos
Year's Best SF 10	edited by david g. hartwell and kathryn cramer	science fiction	498 pp		united states	
Year's Best SF 11	edited by david g. hartwell and kathryn cramer	science fiction	496 pp		united states	eos
Storming Heaven (Giardina novel)	denise giardina	historical novel			united states	
The Forger (Watkins novel)	paul watkins	novel	322 pp		united states	picador
The World Without Us	alan weisman	non-fiction			united states	
Chronicles of Xan	antony barone	historical novel	152 pgs		united states	capstone fiction
Disturbing the Peace (novel)	richard yates	novel			united states	delacorte press/  s. lawrence
The Grand Babylon Hotel	arnold bennett	fiction			united kingdom	chatto  &  windus
Wolf of the Plains	conn iggulden	historical novel	464 pp (first edition)		united kingdom	harpercollins
Void Moon	michael connelly	crime novel	407 pp		united states	little, brown, and company
Wild Fire (novel)	nelson demille	fiction	528		united states	grand central publishing
Britain's Everyday Heroes	gordon brown	non-fiction	240		united kingdom	mainstream publishing
The Venom Trees of Sunga	l. sprague de camp	science fiction	211		united states	del rey books
The Year's Best Fantasy Stories: 2	lin carter (editor)	fantasy	192 pp		united states	daw books
The Year's Best Fantasy Stories: 3	lin carter (editor)	fantasy	237 pp		united states	daw books
The Year's Best Fantasy Stories: 4	lin carter (editor)	fantasy	208 pp		united states	daw books
Penrod Jashber	booth tarkington	novel	321 pages		united states	doubleday, doran  &  co.
The Year's Best Fantasy Stories: 5	lin carter (editor)	fantasy	204 pp		united states	daw books
The Year's Best Fantasy Stories: 6	lin carter (editor)	fantasy	191 pp		united states	daw books
Futures Past	edited by jack dann and gardner dozois	science fiction	290 pp		united states	ace books
Beyond Singularity	edited by jack dann and gardner dozois	science fiction	288 pp		united states	ace books
Robots (anthology)	edited by jack dann and gardner dozois	science fiction	305 pp		united states	ace books
The New Space Opera		science fiction	515 pp		united states	eos
Oyster (novel)	janette turner hospital	novel	453 pp		australia	sydney: knopf
Children of Magic Moon	wolfgang hohlbein, heike hohlbein	fantasy novel			germany	tokyopop
The Year's Best Fantasy Stories: 7	arthur w. saha (editor)	fantasy	191 pp		united states	daw books
The Year's Best Fantasy Stories: 8	arthur w. saha (editor)	fantasy	191 pp		united states	daw books
Eifelheim	michael flynn	science fiction	320 (hc)		united states	tor books
The Hollow Man (Simmons novel)	dan simmons	science fiction	293 pp. (hardcover)		united states	bantam books
The Year's Best Fantasy Stories: 9	arthur w. saha (editor)	fantasy	192 pp		united states	daw books
The Year's Best Fantasy Stories: 10	arthur w. saha (editor)	fantasy	254 pp		united states	daw books
The Year's Best Fantasy Stories: 11	arthur w. saha (editor)	fantasy	238 pp		united states	daw books
The Year's Best Fantasy Stories: 12	arthur w. saha (editor)	fantasy	226 pp		united states	daw books
The Year's Best Fantasy Stories: 13	arthur w. saha (editor)	fantasy	238 pp		united states	daw books
The Year's Best Fantasy Stories: 14	arthur w. saha (editor)	fantasy	239 pp		united states	daw books
Seeing Redd	frank beddor	fantasy novel	384 pp (hardcover edition), 400 pp (paperback edition)		united kingdom	dial press
The Illusion (novel)	k. a. applegate	science fiction novel	156		united states	scholastic
Bedelia (novel)	vera caspary	crime novel	187 pp.		united states	blakiston
The Sirens of Surrentum	caroline lawrence	historical novel	214 pp (first edition, hardback)		united kingdom	orion books
Getting to Know You (short story collection)	david marusek	science fiction	297		united states	subterranean press
Off Armageddon Reef	david weber	science fiction	608		united states	tor books
By Schism Rent Asunder	david weber	science fiction	512		united states	tor books
Ingo (novel)	helen dunmore	children's novel	328 pp		united kingdom	harpercollins
Sten Adventures Book 5: Revenge of the Damned	chris bunch and allan cole	science fiction novel	380		united states	del rey books, reissued by orbit books
Sten Adventures Book 6: The Return of the Emperor	chris bunch and allan cole	science fiction novel	371		united states	del rey books, reissued by orbit books
Sten Adventures Book 7: Vortex	chris bunch and allan cole	science fiction novel	373		united states	del rey books, reissued by orbit books
Sten Adventures Book 8: Empire's End	chris bunch and allan cole	science fiction novel	439		united states	del rey books, reissued by orbit books
Finder (novel)	emma bull	fantasy novel	317 (first edition, hardbound)		united states	tor
The Book of Lies (Moloney novel)	james moloney	fantasy	392		australia	
Master of the Books	james moloney	fantasy novel	414		australia	
The Dreaming Void	peter f. hamilton	science fiction	656 (hardcover)   the dreaming void official page at panmacmillan.com		united kingdom	panmacmillan
Spinneret (novel)	timothy zahn	science fiction	339		united states	bluejay books
The Temporal Void	peter f. hamilton	science fiction	746 (hardcover)		united kingdom	panmacmillan
Great Kings' War	john f. carr and roland green	science fiction			united states	ace science fiction books (1985); pequod press (2006)
Kalvan Kingmaker	john f. carr	science fiction			united states	pequod press
Siege of Tarr-Hostigos	john f. carr	science fiction novel			united states	pequod press
Tessa (novel)	margit sandemo	crime novel	142			boknöje ab
I riddarnas spår	margit sandemo	non-fiction	144			boknöje ab
The Brain That Changes Itself	norman doidge	non-fiction	427 pp.		united states	viking press
Cop This!	chris nyst	novel	444 pp (unknown edition)		australia	harpercollins publishers
Ballet Shoes (novel)	noel streatfeild	children's novel	303 pp (first edition)		united kingdom	j. m. dent  &  sons
Between Pacific Tides	edward f. ricketts, jack calvin	non-fiction			united states	stanford university press
Le Jour des fourmis	bernard werber	novel			france	le livre de poche
Vargens lilla lamm	margit sandemo	historical novel	286			boknöje ab
Protostars (book)	edited by  david gerrold and stephen goldin	science fiction	x, 271 pp.		united states	ballantine books
Axis (novel)	robert charles wilson	science fiction novel	303		united states	tor books
The Battle for Bond	robert sellers	non-fiction	264 pp (first edition)  272 pp (second edition)		united kingdom	tomahawk press publishers
The End of the Line (book)		non-fiction				ebury press (uk)  new press (us)
I nattens tystnad	margit sandemo	novel	218			boknöje ab
The Journeyer	gary jennings	historical novel	782 pp		united states	atheneum books (us)  hutchinson (uk)
The Coming China Wars	peter navarro	non-fiction			united states	ft press
The Proposal (novel)	k. a. applegate	science fiction novel	147		united states	
Ellison Wonderland	harlan ellison	science fiction	191		united states	paperback library
Shatterday (short story collection)	harlan ellison	science fiction	332 pp		united states	houghton mifflin
Voice of the Whirlwind	walter jon williams	science fiction			united states	night shade books
Hardwired (novel)	walter jon williams	science fiction			united states	night shade books
The Day After Judgment	james blish	fantasy	166		united kingdom	doubleday
The Prophecy (Applegate novel)	k. a. applegate	science fiction novel	141		united states	scholastic
The Mutation (novel)	k. a. applegate	science fiction novel	142		united states	scholastic
Gladiator-At-Law	frederik pohl and cyril m. kornbluth	science fiction	171 pp		united states	ballantine books
A Demon of Our Own Design	richard bookstaber	non-fiction	288		united states	john wiley  &  sons
Dog Wizard	barbara hambly	fantasy novel	389 pp (paperback)		united states	del rey books
The Incomparable Atuk	mordechai richler	fiction			canada	
The Arrival (novel)	k. a. applegate	science fiction novel	148		united states	scholastic
The Hidden (novel)	laura battyanyi-wiess	science fiction novel	121		united states	scholastic
Fair and Tender Ladies	lee smith	historical novel			united states	
The Unquiet Earth	denise giardina	historical novel			united states	
Possessing the Secret of Joy	alice walker	fiction	286 pp.			harcourt brace jovanovich
Senrid	sherwood smith	fantasy novel	448		united states	ya angst
The Teahouse Fire	ellis avery	historical novel	390 pp (first edition, paperback original)		united states	vintage, random house
Deathstalker Rebellion	simon r green	science fiction novel	568		united kingdom	gollancz/vista
Deathstalker War	simon r green	science fiction novel	570		uk	gollancz/vista
Deathstalker Honour	simon r green	science fiction novel	621		united kingdom	gollancz/vista
Deathstalker Destiny	simon r green	science fiction novel	473		united kingdom	orion/millennium
With Folded Hands	jack williamson	science fiction			united states	fantasy press
The Familiar (novel)	k. a. applegate	science fiction novel	143		united states	scholastic
The Journey (Applegate novel)	k. a. applegate	science fiction novel	139		united states	scholastic
The Dogs of Babel	carolyn parkhurst	novel	264 pp		united states	little, brown
The Palace of Laughter	jon berkeley	fantasy novel	464 pp (paperback edition)		usa	julie andrew collection-imprint of harpercollins publisher
The Test (Applegate novel)	k. a. applegate	science fiction novel	135		united states	scholastic
The Unexpected (novel)	k. a. applegate	science fiction novel	143		united states	scholastic
Sir Harold and the Gnome King	l. sprague de camp	fantasy	71 pp		united states	wildside press
Middle Class Millionaire	russ alan prince and lewis schiff	non-fiction			united states	doubleday
The Revelation (novel)	k. a. applegate	science fiction novel	136		united states	scholastic
Mistborn: The Well of Ascension	brandon sanderson	fantasy novel	590 pp (first edition, hardback)		united states	tor books, macmillan audio
Sarny (novel)	gary paulsen	novel	192 pp		united states	dell books
Nobody's Girl	hector malot	novel			france	ernest flammarion
The Ungodly Farce	svend aage madsen	novel	185		denmark	gyldendal
The Flames: A Fantasy	olaf stapledon	science fiction	84 pp		united kingdom	secker and warburg
Dragonhaven	robin mckinley	fantasy novel	352		united states	putnam
Jango (novel)	william nicholson	fantasy novel	432 pp (first edition, hardback)		united kingdom	egmont books
Enemies: How America's Foes Steal Our Vital Secrets – And How We Let It Happen	bill gertz	non-fiction	304		united states	three rivers press
Half the House: A Memoir	richard hoffman	novel	2180 pp (new rivers press paperback edition)		united states	harcourt brace and new rivers press (with postscript)
The Narrows (Connelly novel)	michael connelly	crime novel	416 pp		united states	little, brown and company
Elminster – The Making of a Mage	ed greenwood	fantasy novel			united states	
Professor Martens' Departure	jaan kross	historical novel	247 pp		estonia	eesti raamat
Wanderlust (Dragonlance novel)	steve winter and mary kirchoff	fantasy novel	312 pp		united states	tsr, inc.
Catalyst Code	david s. evans  richard l. schmalensee	non-fiction	228 pp		united states	harvard business school press
The Enemies of Jupiter	caroline lawrence	historical novel	224 pp (first edition, hardback)		united kingdom	orion books
Pornified	pamela paul	non-fiction	304/320		united states	owl books
Spangle (novel)	gary jennings	historical novel	869 pp		united states	atheneum books
A Gesture Life	chang-rae lee	novel	356		united states	riverhead books
The Closers (Connelly novel)	michael connelly	crime novel	416 pp		united states	little, brown
City of Bones (Connelly novel)	michael connelly	crime novel	464		united states	warner books
A Darkness More Than Night	michael connelly	crime novel	418		united states	
Angels Flight (novel)	michael connelly	crime novel	393		united states	little brown
Trunk Music (novel)	michael connelly	crime novel	383 pp.		united states	little, brown  &  co.
The Last Coyote	michael connelly	crime novel	400 pp.		united states	little, brown and company
The Concrete Blonde	michael connelly	crime novel	392		united states	little, brown and company
The Black Ice	michael connelly	crime novel	336 pp.		united states	little, brown and company
The Black Echo	michael connelly	crime novel			united states	little, brown and company
Dawn Wind	rosemary sutcliff	historical novel			united kingdom	oxford university press
Whispering to Witches	anna dale	children's novel	280 pp (paperback edition)		united kingdom	bloomsbury publishing
Alida's Song	gary paulsen	novel	96 pp		united states	dell publishing
The Cookcamp	gary paulsen	novel	115 pp (first edition)		united states	scholastic
The Case of the Dirty Bird	gary paulsen	novel			united states	dell publishing
Dunc's Doll	gary paulsen	novel			united states	dell publishing
Culpepper's Cannon	gary paulsen	novel			united states	dell publishing
Dunc Gets Tweaked	gary paulsen	novel			united states	dell publishing
Dunc's Halloween	gary paulsen	novel	84 pp (first edition)		united states	dell publishing
Dunc Breaks the Record	gary paulsen	novel			united states	dell publishing
The End of Mr. Y	scarlett thomas	novel	416 pp		great britain	harcourt books
Pollen (novel)	jeff noon	science fiction	327		great britain	ringpull
A Blues for Shindig	mo foster	novel	304		united kingdom	paperbooks
Cry of the Justice Bird	jon haylett	novel	344		united kingdom	paperbooks
I, Mona Lisa	jeanne kalogridis	historical novel			united states	st. martin's griffin
How Children Learn	john holt	non-fiction	189 (1967 ed.), 303 (1983 ed.), 320 (1995 ed.)		united states	pitman publishing (1967)    delacorte press (1983)    perseus publishing (1995)
Star Trek Memories	william shatner	non-fiction			united states	harper-collins
White Boots	noel streatfeild	children's novel	249 pp		united kingdom	collins
QED: The Strange Theory of Light and Matter	richard feynman	non-fiction	158 pp.		united states	
A Guide for the Perplexed	e. f. schumacher	non-fiction	160 pages			
Figures of Earth	james branch cabell	fantasy novel	356 pp		united states	robert m. mcbride
Voices (Indriðason novel)	arnaldur indriðason	crime novel	320 pp (eng. trans.)		iceland	harvill secker
Eastern Standard Tribe	cory doctorow	science fiction novel	224 pp		canada	tor
The Wind from the Sun	arthur c. clarke	science fiction	viii, 178 pp		united states	harcourt brace jovanovich
The Other Side of the Sky	arthur c. clarke	science fiction	245 pp		united states	harcourt brace
Time in Advance	william tenn	science fiction	153 pp		united states	bantam books
Danse Macabre (book)	stephen king	non-fiction	400		united states	everest house
Where the Red Fern Grows	wilson rawls	children's novel	245 pp		united states	doubleday
The Sovereign State	anthony sampson	non-fiction	256 pp.		united states	hodder  &  stoughton ltd.
So Long a Letter	mariama bâ	novel	90 pp (hardback edition)		senegal	
Endymion (Disraeli novel)	benjamin disraeli	novel			united kingdom	longmans  &  green
Triss	brian jacques	fantasy novel	416 (uk hardback)  &  400 (us hardback)		united kingdom	viking (uk)  &  philomel (us)
Blinded by the Right	david brock	non-fiction				crown
R Is for Rocket	ray bradbury	science fiction	233 pp		united states	doubleday  &  company
The Stupids	harry allard	children's novel	32 pp		united states	houghton mifflin
Century Rain	alastair reynolds	science fiction	512		united kingdom	gollancz
The Eyes of Heisenberg	frank herbert	science fiction	158		united states	berkley books
Doomsday Book (novel)	connie willis	science fiction	592 pages (paperback)		united states	bantam spectra
The Green Brain	frank herbert	science fiction	160 pp		united states	ace books
The Adventures of Peregrine Pickle	tobias smollett	novel	372		great britain	
A Supposedly Fun Thing I'll Never Do Again	david foster wallace	non-fiction	353 pp		united states	little, brown and co.
Marlfox	brian jacques	fantasy novel	412 (uk hardback)  &  386 (us hardback)		united kingdom	hutchinson (uk)  &  philomel (us)
Mattimeo	brian jacques	fantasy novel	312 (uk hardback)  &  446 (us hardback)		united kingdom	hutchinson (uk)  &  philomel (us)
A Night in the Lonesome October	roger zelazny	fantasy	280		united states	william morrow and company
The Great and Secret Show	clive barker	fantasy			united kingdom	collins
Everville	clive barker	fantasy	697		united kingdom	harpercollins
Mariel of Redwall	brian jacques	fantasy novel	390 (uk hardback)  &  387 (us hardback)			
The Pearls of Lutra	brian jacques	fantasy novel	375 (uk hardback)  &  408 (us hardback)		united kingdom	hutchinson (uk)  &  philomel (us)
Das falsche Buch	paul wühr	novel	722 pp		germany	hanser
Ellen Foster	kaye gibbons	novel			united states	vintage press
Torrents of Spring	ivan turgenev	fiction			russia	first published in herald of europe
Isis Unveiled	helena petrovna blavatsky	non-fiction			united states	
Beau Geste	p. c. wren	novel				
The Mysteries of Pittsburgh	michael chabon	novel	297 (hardcover edition)		united states	william morrow and company
The Box of Delights	john masefield	fantasy novel	309		united kingdom	heinemann
Orange Crush (novel)	tim dorsey	crime novel	292 pp		united states	william morrow
Leo Africanus (novel)	amin maalouf	historical novel	360 pp		lebanon	new amsterdam books
I Married a Communist	philip roth	novel	336		united states	houghton mifflin
Field of Dishonor	david weber	science fiction	352 pp (first edition, paperback)		united states	
Star Trek: Titan	michael a. martin  andy mangels  christopher l. bennett    geoffrey thorne  john jackson miller  james swallow  david mack	science fiction	book 1: 370  book 2: 364  book 3: 382  book 4: 384  book 5: 368  book 6: 400  book 7: 358  book 8: e-only  book 9: 400  book 10: 304		united states	pocket books
Ratner's Star	don delillo	science fiction novel	438 pp (hardback first edition)		united states	alfred a. knopf
Fugitives and Refugees	chuck palahniuk	non-fiction	176 pages		united states	crown
Ralph 124C 41+	hugo gernsback	science fiction novel			united states	
The Early Asimov	isaac asimov	science fiction	540		united states	doubleday
Aquarium (Suvorov)	viktor suvorov	fiction	249 pp.		united kingdom	hamish hamilton
The Bulgari Connection	fay weldon	novel	224 pp (first edition, hardback)		united kingdom	flamingo press
Fool's Errand (novel)	robin hobb	fantasy				voyager/harpercollins
The Art of Discworld	terry pratchett	fantasy				victor gollancz ltd
The Golden Fool	robin hobb	fantasy				voyager/harpercollins
Shaman's Crossing	robin hobb	fantasy novel	400 pp (hardback edition)  &  544 pp (paperback edition)		united states	voyager books (uk)  &  eos (us)
Fool's Fate	robin hobb	fantasy				voyager/harpercollins
Ship of Magic	robin hobb	fantasy	667  (first edition, hardback)		united kingdom	voyager books
Salamandastron	brian jacques	fantasy novel	336 (uk hardback)  &  391 (us hardback)		united kingdom	hutchinson (uk)  &  philomel (us)
The Uncomfortable Dead	paco ignacio taibo ii  &  subcomandante marcos	novel	268 pp (eng. trans edition)		mexico	la jornada  &  (eng. trans akashic books)
Timelike Infinity	stephen baxter	science fiction	253		united kingdom	harpercollins (uk)
Blink: The Power of Thinking Without Thinking	malcolm gladwell	non-fiction	320 p. (paperback edition)		united states	back bay books, little, brown
Camouflage (novel)	joe haldeman	science fiction	296		united states	ace books
The Road to Gandolfo	michael shepherd	crime novel	258 pp (first edition)		united states	dial press
Simulacron-3	daniel f. galouye	science fiction novel	152 pp		united states	bantam books
Rakkety Tam	brian jacques	fantasy novel	384 (uk hardback)  &  372 (us hardback)		united kingdom	viking (uk)  &  philomel (us)
Deadhouse Gates	steven erikson	fantasy novel	943 pp (uk paperback edition)		united kingdom	bantam books (uk  &  canada)  &  tor books (usa)
